datetime,symbol,open,high,low,close,volume,SMA20,SMA50
2021-08-20 19:00:00,NASDAQ:AAPL,147.44,148.5,146.78,148.19,60549630.0,147.1685,
2021-08-23 19:00:00,NASDAQ:AAPL,148.31,150.19,147.89,149.71,60131810.0,147.2045,
2021-08-24 19:00:00,NASDAQ:AAPL,149.45,150.86,149.15,149.62,48606428.0,147.34699999999998,
2021-08-25 19:00:00,NASDAQ:AAPL,149.81,150.32,147.8,148.36,58991297.0,147.516,
2021-08-26 19:00:00,NASDAQ:AAPL,148.35,149.12,147.51,147.54,48597195.0,147.611,
2021-08-27 19:00:00,NASDAQ:AAPL,147.48,148.75,146.83,148.6,55802388.0,147.748,
2021-08-30 19:00:00,NASDAQ:AAPL,149.0,153.49,148.61,153.12,90956723.0,148.128,
2021-08-31 19:00:00,NASDAQ:AAPL,152.66,152.8,151.29,151.83,86453117.0,148.35150000000002,
2021-09-01 19:00:00,NASDAQ:AAPL,152.83,154.98,152.34,152.51,80313711.0,148.62949999999998,
2021-09-02 19:00:00,NASDAQ:AAPL,153.87,154.72,152.4,153.65,71171317.0,148.959,
2021-09-03 19:00:00,NASDAQ:AAPL,153.76,154.63,153.09,154.3,57866066.0,149.36700000000002,
2021-09-07 19:00:00,NASDAQ:AAPL,154.97,157.26,154.39,156.69,82278261.0,149.897,
2021-09-08 19:00:00,NASDAQ:AAPL,156.98,157.04,153.975,155.11,74420207.0,150.3725,147.0678
2021-09-09 19:00:00,NASDAQ:AAPL,155.49,156.11,153.95,154.07,57305730.0,150.783,147.4226
2021-09-10 19:00:00,NASDAQ:AAPL,155.0,155.48,148.7,148.97,140893235.0,150.787,147.6628
2021-09-13 19:00:00,NASDAQ:AAPL,150.63,151.42,148.75,149.55,102404329.0,150.8095,147.9084
2021-09-14 19:00:00,NASDAQ:AAPL,150.35,151.07,146.91,148.12,109296295.0,150.6595,148.0716
2021-09-15 19:00:00,NASDAQ:AAPL,148.56,149.44,146.37,149.03,83281315.0,150.60150000000002,148.2118
2021-09-16 19:00:00,NASDAQ:AAPL,148.44,148.97,147.221,148.79,68034149.0,150.723,148.2962
2021-09-17 19:00:00,NASDAQ:AAPL,148.82,148.82,145.76,146.06,129868824.0,150.691,148.3526
2021-09-20 19:00:00,NASDAQ:AAPL,143.8,144.84,141.27,142.94,123478863.0,150.4285,148.3092
2021-09-21 19:00:00,NASDAQ:AAPL,143.93,144.6,142.78,143.43,75833962.0,150.1145,148.2878
2021-09-22 19:00:00,NASDAQ:AAPL,144.45,146.43,143.7001,145.85,76404341.0,149.92600000000002,148.292
2021-09-23 19:00:00,NASDAQ:AAPL,146.65,147.08,145.64,146.83,64838170.0,149.8495,148.2456
2021-09-24 19:00:00,NASDAQ:AAPL,145.66,147.4701,145.56,146.92,53477869.0,149.81850000000003,148.21439999999998
2021-09-27 19:00:00,NASDAQ:AAPL,145.47,145.96,143.82,145.37,74150729.0,149.657,148.194
2021-09-28 19:00:00,NASDAQ:AAPL,143.25,144.75,141.69,141.91,108972340.0,149.0965,148.18320000000003
2021-09-29 19:00:00,NASDAQ:AAPL,142.47,144.45,142.03,142.83,74602044.0,148.6465,148.1168
2021-09-30 19:00:00,NASDAQ:AAPL,143.66,144.378,141.28,141.5,89056664.0,148.096,148.0388
2021-10-01 19:00:00,NASDAQ:AAPL,141.9,142.92,139.1101,142.65,94639581.0,147.546,147.9558
2021-10-04 19:00:00,NASDAQ:AAPL,141.76,142.21,138.27,139.14,98322008.0,146.78799999999998,147.7674
2021-10-05 19:00:00,NASDAQ:AAPL,139.49,142.24,139.36,141.11,80861062.0,146.009,147.6098
2021-10-06 19:00:00,NASDAQ:AAPL,139.47,142.15,138.37,142.0,83221119.0,145.3535,147.5144
2021-10-07 19:00:00,NASDAQ:AAPL,143.06,144.215,142.72,143.29,61732656.0,144.8145,147.48059999999998
2021-10-08 19:00:00,NASDAQ:AAPL,144.03,144.1781,142.56,142.9,58773155.0,144.511,147.4258
2021-10-11 19:00:00,NASDAQ:AAPL,142.27,144.81,141.81,142.81,64452219.0,144.174,147.3648
2021-10-12 19:00:00,NASDAQ:AAPL,143.23,143.25,141.0401,141.51,73035859.0,143.8435,147.2846
2021-10-13 19:00:00,NASDAQ:AAPL,141.235,141.4,139.2,140.91,78762721.0,143.4375,147.1556
2021-10-14 19:00:00,NASDAQ:AAPL,142.11,143.88,141.51,143.76,69907100.0,143.186,147.0918
2021-10-15 19:00:00,NASDAQ:AAPL,143.77,144.895,143.51,144.84,67940334.0,143.125,147.0474
2021-10-18 19:00:00,NASDAQ:AAPL,143.445,146.84,143.16,146.55,85589175.0,143.3055,147.0556
2021-10-19 19:00:00,NASDAQ:AAPL,147.01,149.17,146.55,148.76,76378894.0,143.572,147.109
2021-10-20 19:00:00,NASDAQ:AAPL,148.7,149.7539,148.12,149.26,58418788.0,143.7425,147.18220000000002
2021-10-21 19:00:00,NASDAQ:AAPL,148.81,149.64,147.87,149.48,61420990.0,143.875,147.25459999999998
2021-10-22 19:00:00,NASDAQ:AAPL,149.69,150.18,148.64,148.69,58883443.0,143.9635,147.25060000000002
2021-10-25 19:00:00,NASDAQ:AAPL,148.68,149.37,147.6211,148.64,50720556.0,144.127,147.2414
2021-10-26 19:00:00,NASDAQ:AAPL,149.33,150.84,149.0101,149.32,60893395.0,144.4975,147.2054
2021-10-27 19:00:00,NASDAQ:AAPL,149.36,149.73,148.49,148.85,56094929.0,144.79850000000002,147.1786
2021-10-28 19:00:00,NASDAQ:AAPL,149.82,153.165,149.72,152.57,100077888.0,145.352,147.30280000000002
2021-10-29 19:00:00,NASDAQ:AAPL,147.215,149.94,146.4128,149.8,124953168.0,145.7095,147.3648
2021-11-01 19:00:00,NASDAQ:AAPL,148.985,149.7,147.8,148.96,74588258.0,146.2005,147.38019999999997
2021-11-02 19:00:00,NASDAQ:AAPL,148.66,151.57,148.65,150.02,69121987.0,146.64600000000002,147.38639999999998
2021-11-03 19:00:00,NASDAQ:AAPL,150.39,151.97,149.82,151.49,54511534.0,147.1205,147.4238
2021-11-04 19:00:00,NASDAQ:AAPL,151.58,152.43,150.64,150.96,60394616.0,147.504,147.4758
2021-11-05 19:00:00,NASDAQ:AAPL,151.89,152.2,150.06,151.28,65463883.0,147.923,147.5506
2021-11-08 20:00:00,NASDAQ:AAPL,151.41,151.57,150.16,150.44,55020868.0,148.30450000000002,147.5874
2021-11-09 20:00:00,NASDAQ:AAPL,150.2,151.428,150.0601,150.81,56787930.0,148.7695,147.5412
2021-11-10 20:00:00,NASDAQ:AAPL,150.02,150.13,147.85,147.92,65187092.0,149.12,147.463
2021-11-11 20:00:00,NASDAQ:AAPL,148.96,149.43,147.681,147.87,40999950.0,149.3255,147.3702
2021-11-12 20:00:00,NASDAQ:AAPL,148.43,150.4,147.48,149.99,63804008.0,149.583,147.297
